id,value
NGI.Trustworthy Information Flows.disinform_campaign.disinform_campaign,
NGI.Trustworthy Information Flows.disinform_campaign.comput_propaganda,
NGI.Trustworthy Information Flows.disinform_campaign.facebook,
NGI.Trustworthy Information Flows.disinform_campaign.disinform,
NGI.Trustworthy Information Flows.disinform_campaign.ira,
NGI.Trustworthy Information Flows.disinform_campaign.fake_account,
NGI.Trustworthy Information Flows.disinform_campaign.academ_research,
NGI.Trustworthy Information Flows.disinform_campaign.internet_research,
NGI.Trustworthy Information Flows.disinform_campaign.chaslot,
NGI.Trustworthy Information Flows.disinform_campaign.spread_disinform,
NGI.Trustworthy Information Flows.elect_meddl,
NGI.Trustworthy Information Flows.elect_meddl.elect_meddl,
NGI.Trustworthy Information Flows.elect_meddl.anti-conserv,
NGI.Trustworthy Information Flows.elect_meddl.facebook,
NGI.Trustworthy Information Flows.elect_meddl.viktorovich,
NGI.Trustworthy Information Flows.elect_meddl.indict,
NGI.Trustworthy Information Flows.elect_meddl.internet_research,
NGI.Trustworthy Information Flows.elect_meddl.russian_troll,
NGI.Trustworthy Information Flows.elect_meddl.meddl,
NGI.Trustworthy Information Flows.elect_meddl.conserv_bias,
NGI.Trustworthy Information Flows.elect_meddl.2016_elect,
NGI.Trustworthy Information Flows.fact-check,
NGI.Trustworthy Information Flows.fact-check.fact-check,
NGI.Trustworthy Information Flows.fact-check.deepfak,
NGI.Trustworthy Information Flows.fact-check.fake_news,
NGI.Trustworthy Information Flows.fact-check.jonathan_zittrain,
NGI.Trustworthy Information Flows.fact-check.facebook,
NGI.Trustworthy Information Flows.fact-check.misinform,
NGI.Trustworthy Information Flows.fact-check.rank_algorithm,
NGI.Trustworthy Information Flows.fact-check.cadburi,
NGI.Trustworthy Information Flows.fact-check.media_literaci,
NGI.Trustworthy Information Flows.fact-check.fight_fake,
NGI.Trustworthy Information Flows.fake_account,
NGI.Trustworthy Information Flows.fake_account.fake_account,
NGI.Trustworthy Information Flows.fake_account.facebook,
NGI.Trustworthy Information Flows.fake_account.deepfak,
NGI.Trustworthy Information Flows.fake_account.fake_follow,
NGI.Trustworthy Information Flows.fake_account.jonathan_zittrain,
NGI.Trustworthy Information Flows.fake_account.comput_propaganda,
NGI.Trustworthy Information Flows.fake_account.​,
NGI.Trustworthy Information Flows.fake_account.disinform,
NGI.Trustworthy Information Flows.fake_account.fake_news,
NGI.Trustworthy Information Flows.fake_account.polit_ad,
